方劑名,組成,傷寒論主治,治療意圖
抵當丸,水蛭2.0兩/虻蟲2.0兩/桃仁2.5兩/大黃3兩,瘀血緩證,破血逐瘀
大陷胸丸,大黃8兩/葶藶子2.5兩/芒硝2.5兩/杏仁2.5兩,結胸,瀉熱逐水
大陷胸湯,大黃6兩/芒硝5兩/甘遂0.2兩,結胸,瀉熱逐水
小陷胸湯,黃連1兩/半夏2.5兩/栝蔞實1.5兩,小结胸,清熱化痰
文蛤散,文蛤5兩,欲嘔,清熱止渴
三物白散,桔梗0.75兩/巴豆0.25兩/貝母0.75兩,寒實結胸,溫下寒痰
柴胡桂枝湯,桂枝1.5兩/黃芩1.5兩/人參1.5兩/甘草1兩/半夏1.0兩/芍藥1.5兩/大棗1.8兩/生薑1.5兩/柴胡4兩,太少合病,和解表裏
柴胡桂枝乾薑湯,柴柴8兩/桂枝3兩/乾薑2兩/栝蔞根4兩/黃芩3兩/牡蠣2兩/甘草2兩,少陽寒熱,和解溫下
半夏瀉心湯,半夏2.5兩/黃芩3兩/乾薑3兩/人參3兩/甘草3兩/黃連1兩/大棗3.6兩,心下痞,和中降逆
十棗湯,芫花1兩/甘遂1兩/大戟1兩,懸飲,攻逐水飲
大黃黃連瀉心湯,大黃2兩/黃連1兩,熱痞,瀉熱消痞
附子瀉心湯,大黃2兩/黃連1兩/黃芩1兩/附子0.3兩,上熱下寒,溫下瀉熱
生薑瀉心湯,生薑4兩/甘草3兩/人參3兩/乾薑1兩/黃芩3兩/半夏2.5兩/黃連1兩/大棗3.6兩,水飲食滞痞,和胃散水
甘草瀉心湯,甘草4兩/黃芩3兩/半夏2.5兩/大棗3.6兩/黃連1兩/乾薑3兩,下利完谷痞,補中止利
赤石脂禹餘糧湯,赤石脂16兩/太一禹餘糧16兩,滑脫下利,澀腸止利
旋覆代赭湯,旋覆花3兩/人參2兩/生薑5兩/代赭1兩/甘草3兩/半夏2.5兩/大棗3.6兩,胃虛濁逆,降逆化痰
桂枝人參湯,桂枝4兩/甘草4兩/白朮3兩/人參3兩/乾薑3兩,虛寒下利,溫中解表
瓜蒂散,瓜蒂0.25兩/赤小豆0.25兩,痰延,湧吐痰食
黃芩湯,黃芩3兩/芍藥2兩/甘草2兩/大棗3.6兩,太陽少陽下利,清熱止利
黃芩加半夏生薑湯,黃芩3兩/芍藥2兩/甘草2兩/大棗3.6兩/半夏2.5兩/生薑1.5兩,熱利嘔,清熱止嘔
黃連湯,黃連3兩/甘草3兩/乾薑3兩/桂枝3兩/人參2兩/半夏2.5兩/大棗3.6兩,上熱下寒,清熱溫下
桂枝附子湯,桂枝4兩/附子0.9兩/生薑3兩/甘草2兩/大棗3.6兩,風濕,溫陽祛風
去桂加白朮湯,附子0.9兩/白朮4兩/生薑3兩/甘草2兩/大棗3.6兩,風濕,溫陽祛濕
甘草附子湯,甘草2兩/附子0.6兩/白朮2兩/桂枝4兩,風濕,溫陽祛濕
白虎湯,知母6兩/石膏16兩/甘草2兩/粳米3.0兩,陽明氣分熱,清熱生津
炙甘草湯,甘草4兩/生薑3兩/人參2兩/生地黃16兩/桂枝3兩/阿膠2兩/麥門冬8兩/麻仁2.5兩/大棗9.0兩,脈結代,滋陰復脈
大承氣湯,大黃4兩/厚朴8兩/枳實1.5兩/芒硝1.5兩,陽明腑實,急下存陰
小承氣湯,大黃4兩/厚朴2兩/枳實0.9兩,陽明腑實,輕下燥屎
豬苓湯,豬苓1兩/茯苓1兩/澤瀉1兩/阿膠1兩/滑石1兩,水熱互結,利水清熱
蜜煎導,食蜜3.5兩,津亏便硬,潤導通便
